project,hash,date,fileId,fileName,dok0.004Values,dok0.004AuthorPreCommit,dok0.004AuthorPostCommit,dok0.004Sum,dok0.004Avg,dok0.004Median,dok0.004Std,dok0.004Min,dok0.004Max,dok0.004RelativeAvg,dok0.004RelativeMedian,dok0.004RelativeMin,dok0.004RelativeMax,dok0.004FileBusFactor0.5,dok0.004FileBusFactor0.6,dok0.004FileBusFactor0.7,dok0.004FileBusFactor0.8,dok0.004FileBusFactor0.9,dok0.004FileBusFactor1.0,dok0.004ProjectBusFactor0.5,dok0.004ProjectBusFactor0.6,dok0.004ProjectBusFactor0.7,dok0.004ProjectBusFactor0.8,dok0.004ProjectBusFactor0.9,dok0.004ProjectBusFactor1.0,isBugPresent,isBugfix,isSZZBugIntroducer,isRefactor,totalBugfix,totalRefactors,revision,age,authors,totalAuthors,authorId,totalLoc,locFirst,locLast,locLast-First,deltaTotalAddedToLast,deltaTotalRemovedToLast,deltaTotalReplacedToLast,added,removed,replaced,modified,relativeAdded,relativeRemoved,relativeReplaced,relativeModified,deltaLocToLast,deltaLocToPrev,deltaLocToNext,deltaLocAddedToPrev,deltaLocRemovedToPrev,deltaLocReplacedToPrev,deltaLocModifiedToPrev,deltaLocAddedToNext,deltaLocRemovedToNext,deltaLocReplacedToNext,deltaLocModifiedToNext,180hcpf1,180hcpf2,180fileHcpf,180commitHcpf,180hcm1,180hcm2,180edhcm,180ldhcm,180lgdhcm,90hcpf1,90hcpf2,90fileHcpf,90commitHcpf,90hcm1,90hcm2,90edhcm,90ldhcm,90lgdhcm,riskScore,nrOfFunctions,ccsSum,ccsAvg,ccsMed,ccsMin,ccsMax,ccsStd,isKillCommit,scatterSingleScore,scatterAvg15,scatterSum15,scatterMax15,scatterMed15,scatterTimeAvg,scatterTimeSum,scatterTimeMax,scatterTimeMed,dependencyChanged,dependencyChangedPrev5Commits
zaproxy,f9d9b4b765ee758daca3763d604b0986624bd25d,1559924859,117,"zap/src/test/java/org/zaproxy/zap/spider/parser/SpiderSitemapXMLParserUnitTest.java","{""0"":0.089097105,""2"":0.45224696}",0.1869,0.4522,0.5413,0.2707,0.2707,0.1816,0.0891,0.4522,0.5413,1.0000,0.3292,1.6708,1,1,1,1,1,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,2,1,2,915,0,300,300,669,674,144,305,0,0,305,0.33333334,0.0,0.0,0.33333334,-615,-305,3,295,-4,-11,280,302,0,-12,290,0.8908,0.0003,0.8749,0.3619,0.8032,0.0000,0.3976,26.7741,72.8918,0.8914,0.0003,0.8748,0.4005,0.8068,0.0000,0.1598,13.4472,44.9884,27.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,40549.5156,51239.1992,3415.9465,40549.5156,0.0000,51288.6992,2051.5481,40549.5156,1.0000,false,false
zaproxy,f3942d9384251f043c011508bd228e65671c2486,1579271890,117,"zap/src/test/java/org/zaproxy/zap/spider/parser/SpiderSitemapXMLParserUnitTest.java","{""0"":0.03644981,""2"":0.1762507,""5"":0.021052632}",null,0.0211,0.2338,0.0779,0.0364,0.0698,0.0211,0.1763,0.2338,0.4678,0.2702,2.2620,1,0,0,0,0,0,1,0,0,0,0,0,false,false,false,false,0,0,1,19347031,3,2,5,924,0,300,300,666,674,132,3,0,12,15,0.0032467532,0.0,0.012987013,0.016233766,-624,-3,-8,0,0,0,0,3,-8,12,7,0.8453,0.0005,0.8154,0.6263,2.5334,0.0005,1.4708,87.7283,250.9204,0.8419,0.0006,0.8000,0.5786,2.5377,0.0005,1.2251,73.2238,221.1336,22.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,5053.8979,10705.1846,713.6790,5623.7861,1.0000,10739.1846,488.1447,5623.7861,2.5000,false,false
zaproxy,4b6630376bee1a8602c809404f18644a6368d367,1608139191,117,"zap/src/test/java/org/zaproxy/zap/spider/parser/SpiderSitemapXMLParserUnitTest.java","{""0"":0.04109756,""2"":0.04494161}",0.0095,0.0411,0.0860,0.0430,0.0430,0.0019,0.0411,0.0449,0.0860,1.0000,0.9553,1.0447,0,0,0,0,0,0,1,0,0,0,0,0,false,false,false,false,0,0,2,48214332,2,3,0,900,0,300,300,666,666,132,0,8,0,8,0.0,0.008888889,0.0,0.008888889,-600,8,0,0,0,0,0,0,8,-19,-11,0.8296,0.0002,0.8138,0.6011,3.3787,0.0009,1.7054,105.9010,306.1807,0.8254,0.0002,0.8149,0.5720,3.3796,0.0011,0.7053,57.2954,190.9516,31.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,5623.7861,5659.9526,377.3302,5623.7861,1.0000,5685.2861,299.2256,5623.7861,4.0000,false,false
zaproxy,060da6d88991d7f9f94fd9932885a3810983a47a,1558604693,121,"zap/src/main/java/org/parosproxy/paros/core/scanner/ScannerParam.java","{""5"":1.0}",null,null,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1,1,1,1,1,1,0,0,0,0,0,0,false,false,false,false,0,0,0,0,1,1,0,1262,631,2236,1605,1715,110,1501,631,0,0,631,0.5,0.0,0.0,0.5,974,-631,0,0,0,0,0,631,0,-631,0,0.8764,0.0006,0.8714,0.2247,0.0000,0.0000,0.0000,0.0000,0.0000,0.8777,0.0006,0.8715,0.2478,0.0000,0.0000,0.0000,0.0000,0.0000,3.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,39973.6719,87237.3359,5815.8223,40549.5156,43.0000,87370.3359,3798.7102,40549.5156,22.5000,false,false
zaproxy,f9d9b4b765ee758daca3763d604b0986624bd25d,1559924859,121,"zap/src/main/java/org/parosproxy/paros/core/scanner/ScannerParam.java","{""2"":0.5,""5"":0.46894}",null,0.5000,0.9689,0.4845,0.4845,0.0155,0.4689,0.5000,0.9689,1.0000,0.9679,1.0321,2,2,2,2,2,1,0,0,0,0,0,0,false,false,false,false,0,0,1,1320166,2,2,2,1764,631,2236,1605,1127,110,1501,588,0,0,588,0.33333334,0.0,0.0,0.33333334,472,-588,0,576,-55,-82,439,588,0,-1,587,0.8908,0.0009,0.8749,0.3619,0.0000,0.0000,0.0000,0.0000,0.0000,0.8914,0.0009,0.8748,0.4005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,40549.5156,47263.6641,3150.9109,40549.5156,43.0000,47396.6641,2154.3938,40549.5156,22.5000,false,false
zaproxy,f3942d9384251f043c011508bd228e65671c2486,1579271890,121,"zap/src/main/java/org/parosproxy/paros/core/scanner/ScannerParam.java","{""2"":0.20467848,""5"":0.19107273}",0.1911,0.1911,0.3958,0.1979,0.1979,0.0068,0.1911,0.2047,0.3958,1.0000,0.9656,1.0344,0,0,0,0,0,0,1,0,0,0,0,0,false,false,false,false,0,0,2,20667197,2,3,5,1764,631,2236,1605,1127,110,1500,0,0,1,1,0.0,0.0,5.6689343E-4,5.6689343E-4,472,0,2,0,0,0,0,-2,0,-1,-3,0.8453,0.0000,0.8154,0.6263,1.7045,0.0011,1.2537,70.6180,198.1476,0.8419,0.0000,0.8000,0.5786,1.7103,0.0011,1.1133,63.5489,182.3923,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,5053.8979,6410.5439,427.3696,5053.8979,22.5000,6498.5439,342.0286,5053.8979,22.0000,false,false
zaproxy,060da6d88991d7f9f94fd9932885a3810983a47a,1558604693,122,"zap/src/main/java/org/parosproxy/paros/core/scanner/VariantMultipartFormParameters.java","{""5"":1.0}",null,null,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1,1,1,1,1,1,0,0,0,0,0,0,false,false,false,false,0,0,0,0,1,1,0,384,192,897,705,753,48,788,192,0,0,192,0.5,0.0,0.0,0.5,513,-192,0,0,0,0,0,192,0,-192,0,0.8764,0.0002,0.8714,0.2247,0.0000,0.0000,0.0000,0.0000,0.0000,0.8777,0.0002,0.8715,0.2478,0.0000,0.0000,0.0000,0.0000,0.0000,3.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,39973.6719,87282.3359,5818.8223,40549.5156,43.0000,87370.3359,4598.4385,40549.5156,22.5000,false,false
zaproxy,f9d9b4b765ee758daca3763d604b0986624bd25d,1559924859,122,"zap/src/main/java/org/parosproxy/paros/core/scanner/VariantMultipartFormParameters.java","{""2"":0.5,""5"":0.46894}",null,0.5000,0.9689,0.4845,0.4845,0.0155,0.4689,0.5000,0.9689,1.0000,0.9679,1.0321,2,2,2,2,2,1,0,0,0,0,0,0,false,false,false,false,0,0,1,1320166,2,2,2,774,192,897,705,495,48,788,258,0,0,258,0.33333334,0.0,0.0,0.33333334,123,-258,1,188,-4,-154,30,257,0,-2,255,0.8908,0.0004,0.8749,0.3619,0.0000,0.0000,0.0000,0.0000,0.0000,0.8914,0.0004,0.8748,0.4005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,40549.5156,47330.6641,3155.3777,40549.5156,43.0000,47396.6641,2633.1482,40549.5156,22.5000,false,false
zaproxy,060da6d88991d7f9f94fd9932885a3810983a47a,1558604693,123,"zap/src/test/java/org/parosproxy/paros/core/scanner/VariantMultipartFormParametersUnitTest.java","{""5"":1.0}",null,null,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1,1,1,1,1,1,0,0,0,0,0,0,false,false,false,false,0,0,0,0,1,1,0,500,250,1576,1326,1484,158,354,250,0,0,250,0.5,0.0,0.0,0.5,1076,-250,0,0,0,0,0,250,0,-3,247,0.8764,0.0003,0.8714,0.2247,0.0000,0.0000,0.0000,0.0000,0.0000,0.8777,0.0003,0.8715,0.2478,0.0000,0.0000,0.0000,0.0000,0.0000,3.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,39973.6719,87282.3359,5818.8223,40549.5156,43.0000,87370.3359,4598.4385,40549.5156,22.5000,false,false
zaproxy,f9d9b4b765ee758daca3763d604b0986624bd25d,1559924859,123,"zap/src/test/java/org/parosproxy/paros/core/scanner/VariantMultipartFormParametersUnitTest.java","{""2"":0.5,""5"":0.46894}",null,0.5000,0.9689,0.4845,0.4845,0.0155,0.4689,0.5000,0.9689,1.0000,0.9679,1.0321,2,2,2,2,2,1,0,0,0,0,0,0,false,false,false,false,0,0,1,1320166,2,2,2,939,250,1576,1326,1171,158,354,313,0,0,313,0.33333334,0.0,0.0,0.33333334,637,-313,1,176,-74,-138,-36,310,-2,-8,300,0.8908,0.0004,0.8749,0.3619,0.0000,0.0000,0.0000,0.0000,0.0000,0.8914,0.0004,0.8748,0.4005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,40549.5156,47330.6641,3155.3777,40549.5156,43.0000,47396.6641,2633.1482,40549.5156,22.5000,false,false
