project,hash,date,fileId,fileName,dok0.004Values,dok0.004PreCommitValues,dok0.004AuthorPreCommit,dok0.004AuthorPostCommit,dok0.004Sum,dok0.004Avg,dok0.004Median,dok0.004Std,dok0.004Min,dok0.004Max,dok0.004PreCommitSum,dok0.004PreCommitAvg,dok0.004PreCommitMedian,dok0.004PreCommitMin,dok0.004PreCommitMax,dok0.004RelativeAvg,dok0.004RelativeMedian,dok0.004RelativeMin,dok0.004RelativeMax,dok0.004FileBusFactor0.2,dok0.004FileBusFactorAuthors0.2,dok0.004ProjectBusFactor0.2,dok0.004ProjectBusFactorAuthors0.2,isBugPresent,isBugfix,isSZZBugIntroducer,isRefactor,totalBugfix,totalRefactors,revision,age,authors,totalAuthors,authorId,totalLoc,locFirst,locLast,locLast-First,deltaTotalAddedToLast,deltaTotalRemovedToLast,deltaTotalReplacedToLast,added,removed,replaced,modified,relativeAdded,relativeRemoved,relativeReplaced,relativeModified,deltaLocToLast,deltaLocToPrev,deltaLocToNext,deltaLocAddedToPrev,deltaLocRemovedToPrev,deltaLocReplacedToPrev,deltaLocModifiedToPrev,deltaLocAddedToNext,deltaLocRemovedToNext,deltaLocReplacedToNext,deltaLocModifiedToNext,180hcpf1,180hcpf2,180fileHcpf,180commitHcpf,180hcm1,180hcm2,180edhcm,180ldhcm,180lgdhcm,90hcpf1,90hcpf2,90fileHcpf,90commitHcpf,90hcm1,90hcm2,90edhcm,90ldhcm,90lgdhcm,riskScore,nrOfFunctions,ccsSum,ccsAvg,ccsMed,ccsMin,ccsMax,ccsStd,isKillCommit,scatterSingleScore,scatterAvg15,scatterSum15,scatterMax15,scatterMed15,scatterTimeAvg,scatterTimeSum,scatterTimeMax,scatterTimeMed,dependencyChanged,dependencyChangedPrev5Commits
yeti,9504af2865eca77825fe575c236c2267e214dead,1400410644,1462,"Malcom/config/malconf.py","{""0"":1.0}","null",null,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,null,null,null,null,null,1.0000,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",false,false,true,false,0,0,0,0,1,1,0,75,75,158,83,238,155,124,75,0,0,75,1.0,0.0,0.0,1.0,83,-75,1,75,0,0,75,74,0,0,74,0.8408,0.0116,0.7867,0.7243,0.0000,0.0000,0.0000,0.0000,0.0000,0.8101,0.0220,0.7851,0.6117,0.0000,0.0000,0.0000,0.0000,0.0000,NaN,9,10,1.1111,0.0000,0,7,2.1830,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,e9e4ec812ab26fca03ac1c6b12eb61e198f13901,1401228481,1462,"Malcom/config/malconf.py","{""0"":0.96547836}","{""0"":0.9645706}",0.9646,0.9655,0.9655,0.9655,0.9655,0.0000,0.9655,0.9655,0.9646,0.9646,0.9646,0.9646,0.9646,0.9655,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",false,false,true,false,0,0,1,817837,1,1,0,76,75,158,83,237,155,124,1,0,0,1,0.013157895,0.0,0.0,0.013157895,82,-1,0,-74,0,0,-74,1,0,-2,-1,0.8748,0.0089,0.8655,0.6893,0.0000,0.0000,0.0000,0.0000,0.0000,0.8738,0.0124,0.8681,0.6229,0.0000,0.0000,0.0000,0.0000,0.0000,NaN,9,10,1.1111,0.0000,0,7,2.1830,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,7d7c9a9bb65955e1bde88e3e8952cebdf1024e5e,1404605170,1462,"Malcom/config/malconf.py","{""0"":0.8302536}","{""0"":0.8257657}",0.8258,0.8303,0.8303,0.8303,0.8303,0.0000,0.8303,0.8303,0.8258,0.8258,0.8258,0.8258,0.8258,0.8303,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",false,false,true,false,0,0,2,4194526,1,1,0,76,75,158,83,237,155,122,0,0,2,2,0.0,0.0,0.02631579,0.02631579,82,0,1,-1,0,2,1,-1,0,2,1,0.8674,0.0096,0.8520,0.6558,0.8748,0.0089,0.8661,43.7390,125.3026,0.8648,0.0103,0.8542,0.6394,0.8738,0.0124,0.8652,43.6924,125.1690,NaN,9,10,1.1111,0.0000,0,7,2.1830,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,32910731452189e73f549d97813ad3ba2fb7637a,1405265733,1462,"Malcom/config/malconf.py","{""0"":0.8091324}","{""0"":0.80423915}",0.8042,0.8091,0.8091,0.8091,0.8091,0.0000,0.8091,0.8091,0.8042,0.8042,0.8042,0.8042,0.8042,0.8091,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",false,false,true,false,0,0,3,4855089,1,1,0,77,75,158,83,236,155,122,1,0,0,1,0.012987013,0.0,0.0,0.012987013,81,-1,4,1,0,-2,-1,-4,-1,-1,-6,0.8690,0.0084,0.8444,0.6812,0.8748,0.0089,0.8661,43.7390,125.3026,0.8659,0.0089,0.8435,0.6700,0.8738,0.0124,0.8652,43.6924,125.1690,NaN,9,10,1.1111,0.0000,0,7,2.1830,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,fc82877a1c4524e51edca9c3ccc2bd79665b8217,1414443957,1462,"Malcom/config/malconf.py","{""0"":0.57171017}","{""0"":0.52906555}",0.5291,0.5717,0.5717,0.5717,0.5717,0.0000,0.5717,0.5717,0.5291,0.5291,0.5291,0.5291,0.5291,0.5717,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",false,false,true,false,0,0,4,14033313,1,1,0,81,75,158,83,231,154,121,5,1,1,7,0.061728396,0.012345679,0.012345679,0.086419754,77,-4,81,4,1,1,6,-76,1,1,-74,0.8520,0.0078,0.8242,0.6793,0.8748,0.0089,0.8661,43.7390,125.3026,0.7392,0.0073,0.6564,0.6557,1.7386,0.0228,1.2888,72.3675,203.1715,NaN,9,10,1.1111,0.0000,0,7,2.1830,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,2ddd743e3601c0f678dec24f5452fed010b599f7,1414449094,1462,"Malcom/config/malconf.py","{""0"":0.7807293}","{""0"":0.5716594}",0.5717,0.7807,0.7807,0.7807,0.7807,0.0000,0.7807,0.7807,0.5717,0.5717,0.5717,0.5717,0.5717,0.7807,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",false,false,true,false,0,0,5,14038450,1,1,0,162,75,158,83,150,154,121,81,0,0,81,0.5,0.0,0.0,0.5,-4,-81,9,76,-1,-1,74,72,0,0,72,0.8549,0.0087,0.8461,0.5332,0.8748,0.0089,0.8661,43.7390,125.3026,0.8386,0.0096,0.8558,0.1542,1.7386,0.0228,1.2888,72.3675,203.1715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,97761a1d40b1d59fc20dfcbc91b66f238638b068,1414952056,1462,"Malcom/config/malconf.py","{""0"":0.778787}","{""0"":0.7643048}",0.7643,0.7788,0.7788,0.7788,0.7788,0.0000,0.7788,0.7788,0.7643,0.7643,0.7643,0.7643,0.7643,0.7788,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",true,false,true,false,0,0,6,14541412,1,1,0,171,75,158,83,141,154,121,9,0,0,9,0.05263158,0.0,0.0,0.05263158,-13,-9,1,-72,0,0,-72,8,0,-5,3,0.8541,0.0092,0.8440,0.5320,0.8748,0.0089,0.8661,43.7390,125.3026,0.8345,0.0106,0.8536,0.1556,1.7386,0.0228,1.2888,72.3675,203.1715,NaN,10,13,1.3000,0.0000,0,7,2.1471,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,b55d7caafbea7414e173ad479670b2aa0959b3ec,1417031960,1462,"Malcom/config/malconf.py","{""0"":0.71333146}","{""0"":0.7073654}",0.7074,0.7133,0.7133,0.7133,0.7133,0.0000,0.7133,0.7133,0.7074,0.7074,0.7074,0.7074,0.7074,0.7133,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",true,true,false,false,1,0,7,16621316,1,1,0,172,75,158,83,140,154,116,1,0,5,6,0.0058139535,0.0,0.029069768,0.034883723,-14,-1,1,-8,0,5,-3,0,0,5,5,0.8260,0.0077,0.8165,0.4084,1.7289,0.0181,1.2786,71.8646,201.7264,0.8260,0.0107,0.8509,0.1880,2.5731,0.0333,1.5426,92.3953,260.9267,NaN,10,13,1.3000,0.0000,0,7,2.1471,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,4af23ad14c5abf0c9723952244da02f417a0eccd,1417285839,1462,"Malcom/config/malconf.py","{""0"":0.70818365}","{""0"":0.7049591}",0.7050,0.7082,0.7082,0.7082,0.7082,0.0000,0.7082,0.7082,0.7050,0.7050,0.7050,0.7050,0.7050,0.7082,1.0000,1.0000,1.0000,1,"[0]",1,"[0]",false,true,false,false,2,0,8,16875195,1,1,0,173,75,158,83,139,154,116,1,0,0,1,0.0057803467,0.0,0.0,0.0057803467,-15,-1,18,0,0,-5,-5,-17,0,0,-17,0.8255,0.0078,0.8165,0.4075,1.7289,0.0181,1.2786,71.8646,201.7264,0.8251,0.0108,0.8510,0.1872,2.5731,0.0333,1.5426,92.3953,260.9267,NaN,10,13,1.3000,0.0000,0,7,2.1471,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,837b2bc546e1ba321ea8ea95e42b2f155e26c02d,1430416071,1462,"Malcom/config/malconf.py","{""0"":0.34896925,""72"":0.09405941}","{""0"":0.38520175}",null,0.0941,0.4430,0.2215,0.2215,0.1275,0.0941,0.3490,0.3852,0.3852,0.3852,0.3852,0.3852,0.4430,1.0000,0.4246,1.5754,1,"[0]",1,"[0]",false,false,false,false,2,0,9,30005427,2,2,72,191,75,158,83,121,154,116,18,0,0,18,0.09424084,0.0,0.0,0.09424084,-33,-18,0,17,0,0,17,16,-2,-2,12,0.5965,0.0011,0.6212,0.4529,1.7289,0.0181,1.2786,71.8646,201.7264,0.5928,0.0006,0.6113,0.4479,3.3991,0.0441,1.7325,108.2121,310.5391,NaN,10,28,2.8000,0.0000,0,22,6.4777,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,e3b7f517e7bcdb3f6e913438fabb2b627576a23a,1430468547,1462,"Malcom/config/malconf.py","{""0"":0.34623188,""72"":0.098522164}","{""0"":0.34794617,""72"":0.09405941}",0.0941,0.0985,0.4448,0.2224,0.2224,0.1239,0.0985,0.3462,0.4420,0.2210,0.2210,0.0941,0.3479,0.4448,1.0000,0.4430,1.5570,1,"[0]",1,"[0]",false,false,false,false,2,0,10,30057903,2,2,72,191,75,158,83,119,152,114,2,2,2,6,0.010471204,0.010471204,0.010471204,0.03141361,-33,0,0,-16,2,2,-12,1,1,2,4,0.5965,0.0013,0.6214,0.4527,1.7289,0.0181,1.2786,71.8646,201.7264,0.5927,0.0008,0.6116,0.4475,3.3991,0.0441,1.7325,108.2121,310.5391,NaN,10,28,2.8000,0.0000,0,22,6.4777,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,2abf75e7e3ffa4c274b2e0c0d3f4c81880a49ff4,1431157156,1462,"Malcom/config/malconf.py","{""0"":0.33366352,""72"":0.10007845}","{""0"":0.33530658,""72"":0.09550903}",0.0955,0.1001,0.4337,0.2169,0.2169,0.1168,0.1001,0.3337,0.4308,0.2154,0.2154,0.0955,0.3353,0.4337,1.0000,0.4615,1.5385,1,"[0]",2,"[0,72]",false,false,false,false,2,0,11,30746512,2,2,72,191,75,158,83,118,151,114,1,1,0,2,0.005235602,0.005235602,0.0,0.010471204,-33,0,18,-1,-1,-2,-4,-17,1,0,-16,0.5968,0.0011,0.6227,0.4532,1.7289,0.0181,1.2786,71.8646,201.7264,0.5932,0.0008,0.6127,0.4523,3.3991,0.0441,1.7325,108.2121,310.5391,NaN,10,28,2.8000,0.0000,0,22,6.4777,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,0dd0b0b1bc3421f9ed6983c171608dcab44ea1e6,1431186358,1462,"Malcom/config/malconf.py","{""0"":0.3901086,""72"":0.09148183}","{""0"":0.33330607,""72"":0.10000217}",0.3333,0.3901,0.4816,0.2408,0.2408,0.1493,0.0915,0.3901,0.4333,0.2167,0.2167,0.1000,0.3333,0.4816,1.0000,0.3799,1.6201,1,"[0]",1,"[0]",false,false,true,false,2,0,12,30775714,2,2,0,209,75,158,83,100,151,114,18,0,0,18,0.086124405,0.0,0.0,0.086124405,-51,-18,18,17,-1,0,16,0,0,0,0,0.6003,0.0016,0.6273,0.4598,1.7289,0.0181,1.2786,71.8646,201.7264,0.5958,0.0014,0.6170,0.4583,3.3991,0.0441,1.7325,108.2121,310.5391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,ba822f90df95528c90b46e7c8cde8e8499bb4673,1431187707,1462,"Malcom/config/malconf.py","{""0"":0.3901086,""72"":0.09148183}","{""0"":0.39010963,""72"":0.091481805}",0.3901,0.3901,0.4816,0.2408,0.2408,0.1493,0.0915,0.3901,0.4816,0.2408,0.2408,0.0915,0.3901,0.4816,1.0000,0.3799,1.6201,1,"[0]",1,"[0]",false,false,false,false,2,0,13,30777063,2,2,0,227,75,158,83,82,151,114,18,0,0,18,0.07929515,0.0,0.0,0.07929515,-69,-18,0,0,0,0,0,18,0,-8,10,0.6045,0.0022,0.6319,0.4667,1.7289,0.0181,1.2786,71.8646,201.7264,0.6000,0.0020,0.6221,0.4653,3.3991,0.0441,1.7325,108.2121,310.5391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,8371169905c32c06734e2a48eba71481e65313cc,1431253847,1462,"Malcom/config/malconf.py","{""0"":0.40987378,""72"":0.08679047}","{""0"":0.38921508,""72"":0.09111588}",0.3892,0.4099,0.4967,0.2483,0.2483,0.1615,0.0868,0.4099,0.4803,0.2402,0.2402,0.0911,0.3892,0.4967,1.0000,0.3495,1.6505,1,"[0]",1,"[0]",false,false,false,false,2,0,14,30843203,2,2,0,227,75,158,83,82,151,106,0,0,8,8,0.0,0.0,0.03524229,0.03524229,-69,0,1,-18,0,8,-10,-1,0,7,6,0.6322,0.0022,0.6712,0.4830,1.7289,0.0181,1.2786,71.8646,201.7264,0.6298,0.0020,0.6631,0.4851,3.3991,0.0441,1.7325,108.2121,310.5391,NaN,10,28,2.8000,0.0000,0,22,6.4777,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,d8ee22c727dc2504bfd689bc6d3999110b4bf844,1431368509,1462,"Malcom/config/malconf.py","{""0"":0.4148936,""72"":0.085435785}","{""0"":0.40750492,""72"":0.08620203}",0.4075,0.4149,0.5003,0.2502,0.2502,0.1647,0.0854,0.4149,0.4937,0.2469,0.2469,0.0862,0.4075,0.5003,1.0000,0.3415,1.6585,1,"[0]",0,"[]",false,false,false,true,2,1,15,30957865,2,2,0,228,75,158,83,81,151,105,1,0,1,2,0.004385965,0.0,0.004385965,0.00877193,-70,-1,3,1,0,-7,-6,-2,0,1,-1,0.6306,0.0022,0.6688,0.4823,1.7289,0.0181,1.2786,71.8646,201.7264,0.6282,0.0021,0.6606,0.4848,3.3991,0.0441,1.7325,108.2121,310.5391,NaN,10,28,2.8000,0.0000,0,22,6.4777,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,d4c35c40cdb07c903a8502ff501b92f2d2521851,1431368528,1462,"Malcom/config/malconf.py","{""0"":0.42761323,""72"":0.08357848}","{""0"":0.4148942,""72"":0.08543579}",0.4149,0.4276,0.5112,0.2556,0.2556,0.1720,0.0836,0.4276,0.5003,0.2502,0.2502,0.0854,0.4149,0.5112,1.0000,0.3270,1.6730,1,"[0]",1,"[0]",false,false,true,false,2,1,16,30957884,2,2,0,231,75,158,83,78,151,105,3,0,0,3,0.012987013,0.0,0.0,0.012987013,-73,-3,0,2,0,-1,1,3,0,-1,2,0.6332,0.0023,0.6702,0.4876,1.7289,0.0181,1.2786,71.8646,201.7264,0.6308,0.0022,0.6622,0.4905,3.3991,0.0441,1.7325,108.2121,310.5391,NaN,10,29,2.9000,0.0000,0,22,6.4877,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,404c90782aa951f8da17b90d9b7e5c586378b778,1431789279,1462,"Malcom/config/malconf.py","{""0"":0.41538516,""71"":0.004347826,""72"":0.08214951}","{""0"":0.41966346,""72"":0.082149506}",null,0.0043,0.5019,0.1673,0.0821,0.1783,0.0043,0.4154,0.5018,0.2509,0.2509,0.0821,0.4197,0.5019,0.4910,0.0260,2.4830,1,"[0]",1,"[71]",false,false,true,false,2,1,17,31378635,3,3,71,231,75,158,83,78,151,104,0,0,1,1,0.0,0.0,0.0043290043,0.0043290043,-73,0,4,-3,0,1,-2,-4,0,1,-3,0.6347,0.0023,0.6740,0.4918,1.7289,0.0181,1.2786,71.8646,201.7264,0.6319,0.0022,0.6652,0.4943,3.3991,0.0441,1.7325,108.2121,310.5391,NaN,10,29,2.9000,0.0000,0,22,6.4877,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,dc385285a96ef479325b7101b3a73cb1949f4065,1431977727,1462,"Malcom/config/malconf.py","{""0"":0.40279123,""71"":0.02549794,""72"":0.07953711}","{""0"":0.41154712,""71"":0.0043131127,""72"":0.08126619}",0.0043,0.0255,0.5078,0.1693,0.0795,0.1666,0.0255,0.4028,0.4971,0.1657,0.0813,0.0043,0.4115,0.5078,0.4699,0.1506,2.3795,1,"[0]",2,"[0,71]",false,false,true,false,2,1,18,31567083,3,3,71,235,75,158,83,74,151,104,4,0,0,4,0.017021276,0.0,0.0,0.017021276,-77,-4,4,4,0,-1,3,0,0,0,0,0.6348,0.0024,0.6748,0.4924,1.7289,0.0181,1.2786,71.8646,201.7264,0.6317,0.0023,0.6661,0.4937,3.3991,0.0441,1.7325,108.2121,310.5391,NaN,10,32,3.2000,0.0000,0,25,7.3729,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,025db79e38db08a51cba7902f9f7194154882197,1432032902,1462,"Malcom/config/malconf.py","{""0"":0.40197605,""71"":0.02549794,""72"":0.07944068}","{""0"":0.4019754,""71"":0.02549794,""72"":0.07944068}",0.4020,0.4020,0.5069,0.1690,0.0794,0.1662,0.0255,0.4020,0.5069,0.1690,0.0794,0.0255,0.4020,0.5069,0.4701,0.1509,2.3790,1,"[0]",2,"[0,71]",false,false,false,false,2,1,19,31622258,3,3,0,239,75,158,83,70,151,104,4,0,0,4,0.016736401,0.0,0.0,0.016736401,-81,-4,8,0,0,0,0,-4,0,-9,-13,0.6359,0.0025,0.6765,0.4953,1.7289,0.0181,1.2786,71.8646,201.7264,0.6327,0.0024,0.6679,0.4967,3.3991,0.0441,1.7325,108.2121,310.5391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,58b80bf4b11fb4de1358978cb14dc890edd2c6d0,1433090515,1462,"Malcom/config/malconf.py","{""0"":0.42294085,""71"":0.019292347,""72"":0.07203209}","{""0"":0.38251856,""71"":0.024284514,""72"":0.075710304}",0.3825,0.4229,0.5143,0.1714,0.0720,0.1791,0.0193,0.4229,0.4825,0.1608,0.0757,0.0243,0.3825,0.5143,0.4202,0.1125,2.4673,1,"[0]",1,"[0]",false,false,false,false,2,1,20,32679871,3,3,0,247,75,158,83,62,151,95,8,0,9,17,0.032388665,0.0,0.036437247,0.06882591,-89,-8,26,4,0,9,13,-18,0,0,-18,0.6716,0.0024,0.6940,0.5234,2.3595,0.0203,1.3358,81.8689,230.8220,0.7390,0.0053,0.7009,0.5719,4.0273,0.0461,1.6933,111.6652,327.4186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,02def396413cdeddcc777091569b3f4303b10817,1434031289,1462,"Malcom/config/malconf.py","{""0"":0.33479345,""69"":0.1438849,""71"":0.016401738,""72"":0.061239388}","{""0"":0.40529028,""72"":0.068925284,""71"":0.018460257}",null,0.1439,0.5563,0.1391,0.1026,0.1219,0.0164,0.3348,0.4927,0.1642,0.0689,0.0185,0.4053,0.5563,0.7374,0.1179,2.4072,1,"[0]",1,"[0]",false,false,false,false,2,1,21,33620645,4,4,69,273,75,158,83,36,151,86,26,0,9,35,0.0952381,0.0,0.032967035,0.12820514,-115,-26,3,18,0,0,18,23,0,9,32,0.6943,0.0028,0.6996,0.5263,2.3595,0.0203,1.3358,81.8689,230.8220,0.7405,0.0058,0.6955,0.5207,4.0273,0.0461,1.6933,111.6652,327.4186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,4ce8952d7e81d0be81238c2395366f02129b5db8,1436538632,1462,"Malcom/config/malconf.py","{""0"":0.3104573,""69"":0.12583295,""71"":0.014343956,""72"":0.053556196}","{""0"":0.298056,""69"":0.1280961,""72"":0.05451945,""71"":0.01460194}",0.2981,0.3105,0.5042,0.1260,0.0897,0.1137,0.0143,0.3105,0.4953,0.1238,0.0913,0.0146,0.2981,0.5042,0.7116,0.1138,2.4630,1,"[0]",2,"[0,69]",false,false,true,false,2,1,22,36127988,4,4,0,276,75,158,83,33,151,86,3,0,0,3,0.010869565,0.0,0.0,0.010869565,-118,-3,3,-23,0,-9,-32,0,0,0,0,0.6967,0.0028,0.7043,0.5343,2.3595,0.0203,1.3358,81.8689,230.8220,0.7405,0.0056,0.6791,0.5320,4.0273,0.0461,1.6933,111.6652,327.4186,NaN,10,33,3.3000,0.0000,0,25,7.3899,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,9af1abe8867b9423c51617d96565082d9dbc43a2,1437238454,1462,"Malcom/config/malconf.py","{""0"":0.31243488,""69"":0.11974651,""71"":0.013650156,""72"":0.050965756}","{""0"":0.30028614,""69"":0.12186217,""72"":0.051866207,""71"":0.013891324}",0.3003,0.3124,0.4968,0.1242,0.0854,0.1151,0.0137,0.3124,0.4879,0.1220,0.0869,0.0139,0.3003,0.4968,0.6873,0.1099,2.5156,1,"[0]",1,"[0]",false,false,false,false,2,1,23,36827810,4,4,0,279,75,158,83,30,151,86,3,0,0,3,0.010752688,0.0,0.0,0.010752688,-121,-3,-1,0,0,0,0,-22,-26,-74,-122,0.7004,0.0028,0.7105,0.5465,2.3595,0.0203,1.3358,81.8689,230.8220,0.7368,0.0058,0.6995,0.5231,4.0273,0.0461,1.6933,111.6652,327.4186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,c93d034a6396610294887c1c5cc999c4a551703c,1437324171,1462,"Malcom/config/malconf.py","{""0"":0.54937696,""69"":0.020376554,""71"":0.013272949,""72"":0.049557354}","{""0"":0.31125367,""69"":0.11926753,""72"":0.050761886,""71"":0.013595555}",0.3113,0.5494,0.6326,0.1581,0.0350,0.2263,0.0133,0.5494,0.4949,0.1237,0.0850,0.0136,0.3113,0.6326,0.2211,0.0839,3.4739,1,"[0]",2,"[0,72]",false,false,true,false,2,1,24,36913527,4,4,0,278,75,158,83,5,125,12,25,26,74,125,0.08992806,0.09352518,0.26618704,0.44964027,-120,1,-5,22,26,74,122,25,21,74,120,0.7001,0.0052,0.7111,0.5478,2.3595,0.0203,1.3358,81.8689,230.8220,0.7362,0.0111,0.7024,0.5179,4.0273,0.0461,1.6933,111.6652,327.4186,NaN,10,33,3.3000,0.0000,0,25,7.3899,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,c3521f964a328ec1f9eff2b0759f833dd409ac93,1438502391,1462,"Malcom/config/malconf.py","{""0"":0.5138327,""69"":0.019675514,""71"":0.012765039,""72"":0.04769915}","{""0"":0.5212006,""69"":0.019342033,""72"":0.046890672,""71"":0.012548682}",0.5212,0.5138,0.5940,0.1485,0.0337,0.2113,0.0128,0.5138,0.6000,0.1500,0.0331,0.0125,0.5212,0.5940,0.2269,0.0860,3.4603,1,"[0]",1,"[0]",false,false,false,false,2,1,25,38091747,4,4,0,273,75,158,83,5,120,12,0,5,0,5,0.0,0.01831502,0.0,0.01831502,-115,5,1,-25,-21,-74,-120,-1,5,0,4,0.7245,0.0049,0.7336,0.5671,2.3595,0.0203,1.3358,81.8689,230.8220,0.7731,0.0089,0.7511,0.5505,4.0273,0.0461,1.6933,111.6652,327.4186,NaN,10,30,3.0000,0.0000,0,22,6.5115,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,d2654010b691ad45aaf2461ca927064121bee438,1438514124,1462,"Malcom/config/malconf.py","{""0"":0.51698107,""69"":0.019540751,""71"":0.012677606,""72"":0.047334544}","{""0"":0.51365143,""69"":0.019675516,""72"":0.047660977,""71"":0.012765039}",0.5137,0.5170,0.5965,0.1491,0.0334,0.2128,0.0127,0.5170,0.5938,0.1484,0.0337,0.0128,0.5137,0.5965,0.2242,0.0850,3.4666,1,"[0]",1,"[0]",false,false,true,false,2,1,26,38103480,4,4,0,274,75,158,83,4,120,12,1,0,0,1,0.003649635,0.0,0.0,0.003649635,-116,-1,3,1,-5,0,-4,-2,0,-9,-11,0.7393,0.0048,0.7500,0.5795,2.3595,0.0203,1.3358,81.8689,230.8220,0.7934,0.0083,0.7783,0.5707,4.0273,0.0461,1.6933,111.6652,327.4186,NaN,10,30,3.0000,0.0000,0,22,6.5115,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
yeti,f2ba3cbf5805f9f0f657cb3a6e1c6a417c465d93,1439108994,1462,"Malcom/config/malconf.py","{""0"":0.5125181,""69"":0.018743372,""71"":0.012160285,""72"":0.045402996}","{""0"":0.50288254,""69"":0.019000132,""72"":0.046024963,""71"":0.0123268645}",0.5029,0.5125,0.5888,0.1472,0.0321,0.2113,0.0122,0.5125,0.5802,0.1451,0.0325,0.0123,0.5029,0.5888,0.2179,0.0826,3.4816,1,"[0]",3,"[0,69,72]",true,false,true,false,2,1,27,38698350,4,4,0,277,75,158,83,1,120,3,3,0,9,12,0.010830325,0.0,0.032490976,0.0433213,-119,-3,1,2,0,9,11,2,0,6,8,0.7401,0.0050,0.7514,0.5835,2.3595,0.0203,1.3358,81.8689,230.8220,0.7963,0.0083,0.7970,0.5670,4.0273,0.0461,1.6933,111.6652,327.4186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,false,false
